iter	Passed	Remaining
399	33903	50854
400	33970	50744
401	34033	50626
402	34089	50499
403	34224	50489
404	34329	50434
405	34387	50311
406	34438	50177
407	34507	50069
408	34555	49932
409	34604	49797
410	34658	49668
411	34762	49612
412	34894	49595
413	34974	49504
414	35036	49388
415	35082	49249
416	35200	49212
417	35263	49098
418	35381	49060
419	35528	49062
420	35585	48940
421	35643	48819
422	35738	48749
423	35821	48663
424	35910	48584
425	36132	48684
426	36206	48586
427	36271	48474
428	36344	48373
429	36423	48282
430	36487	48169
431	36573	48086
432	36679	48030
433	36766	47948
434	36833	47841
435	36891	47722
436	36950	47604
437	37006	47482
438	37074	47377
439	37130	47257
440	37292	47271
441	37365	47171
442	37420	47049
443	37468	46919
444	37525	46801
445	37580	46680
446	37638	46563
447	37772	46541
448	37879	46484
449	37948	46381
450	38013	46273
451	38062	46146
452	38127	46039
453	38195	45935
454	38252	45819
455	38414	45828
456	38540	45793
457	38594	45673
458	38648	45552
459	38716	45449
460	38784	45346
461	38858	45251
462	38953	45179
463	39139	45212
464	39212	45115
465	39260	44990
466	39338	44897
467	39404	44793
468	39459	44675
469	39513	44558
470	39682	44568
471	39836	44562
472	39888	44442
473	39937	44318
474	39995	44205
475	40047	44085
476	40098	43965
477	40150	43845
478	40219	43746
479	40411	43778
480	40498	43697
481	40556	43585
482	40608	43467
483	40669	43358
484	40719	43238
485	40786	43136
486	40862	43044
487	41007	43023
488	41105	42954
489	41169	42850
490	41218	42729
491	41269	42611
492	41317	42490
493	41381	42387
494	41441	42278
495	41518	42188
496	41661	42164
497	41728	42063
498	41779	41947
499	41827	41827
500	41890	41723
501	41943	41609
502	42008	41507
503	42088	41420
504	42229	41393
505	42297	41294
506	42357	41187
507	42439	41102
508	42544	41040
509	42608	40938
510	42719	40880
511	42832	40824
512	42912	40737
513	42974	40633
514	43035	40528
515	43083	40411
516	43148	40310
517	43204	40201
518	43343	40170
519	43448	40106
520	43508	40000
521	43558	39886
522	43622	39785
523	43692	39689
524	43764	39596
525	43904	39564
526	44059	39544
527	44118	39438
528	44170	39327
529	44226	39219
530	44315	39140
531	44388	39048
532	44519	39006
533	44675	38986
534	44741	38887
535	44796	38779
536	44848	38668
537	44902	38559
538	44970	38462
539	45033	38361
540	45104	38267
541	45260	38246
542	45384	38196
543	45458	38104
544	45548	38026
545	45644	37953
546	45780	37913
547	46001	37942
548	46074	37849
549	46128	37741
550	46229	37671
551	46295	37573
552	46358	37472
553	46414	37366
554	46523	37302
555	46706	37297
556	46765	37194
557	46825	37091
558	46886	36989
559	46968	36903
560	47023	36797
561	47100	36707
562	47215	36648
563	47325	36585
564	47454	36535
565	47511	36430
566	47563	36323
567	47633	36227
568	47693	36126
569	47766	36034
570	47883	35975
571	48021	35932
572	48082	35830
573	48132	35722
574	48183	35614
575	48247	35515
576	48315	35420
577	48424	35354
578	48594	35333
579	48667	35241
580	48723	35138
581	48781	35035
582	48853	34943
583	48921	34848
584	49011	34768
585	49181	34746
586	49348	34720
587	49403	34615
588	49463	34515
589	49518	34410
590	49563	34300
591	49618	34196
592	49682	34099
593	49769	34017
594	49893	33961
595	49961	33866
596	50064	33795
597	50128	33698
598	50179	33592
599	50233	33488
600	50298	33393
601	50359	33293
602	50436	33206
603	50532	33130
604	50689	33094
605	50750	32996
606	50820	32903
607	50870	32798
608	50929	32698
609	50995	32603
610	51056	32505
611	51152	32429
612	51261	32362
613	51335	32272
614	51389	32170
615	51444	32069
616	51519	31980
617	51600	31895
618	51668	31802
619	51811	31755
620	51914	31683
621	51975	31586
622	52030	31485
623	52080	31382
624	52139	31283
625	52188	31179
626	52244	31080
627	52315	30989
628	52421	30919
629	52517	30843
630	52664	30797
631	52730	30704
632	52799	30612
633	52867	30519
634	52994	30461
635	53131	30408
636	53267	30354
637	53330	30259
638	53386	30160
639	53446	30063
640	53493	29959
641	53540	29855
642	53628	29775
643	53815	29749
644	53913	29673
645	53977	29578
646	54033	29480
647	54099	29387
648	54171	29297
649	54245	29209
650	54380	29153
651	54578	29130
652	54640	29035
653	54695	28936
654	54764	28845
655	54844	28759
656	54899	28661
657	54955	28563
658	55081	28502
659	55245	28459
660	55309	28365
661	55374	28272
662	55438	28179
663	55502	28085
664	55563	27990
665	55657	27912
666	55828	27872
667	55894	27779
668	55953	27683
669	56016	27590
670	56073	27493
671	56123	27393
672	56173	27294
673	56292	27227
674	56449	27179
675	56510	27085
676	56562	26986
677	56628	26894
678	56686	26798
679	56759	26710
680	56883	26645
681	57032	26592
682	57100	26501
683	57147	26401
684	57197	26302
685	57258	26208
686	57343	26125
687	57419	26038
688	57598	25998
689	57694	25920
690	57763	25830
691	57829	25738
692	57893	25647
693	57942	25548
694	57995	25451
695	58077	25367
696	58282	25336
697	58341	25242
698	58411	25152
699	58528	25083
700	58603	24996
701	58713	24923
702	58940	24900
703	59012	24812
704	59066	24715
705	59128	24622
706	59203	24535
707	59266	24443
708	59336	24353
709	59500	24303
710	59622	24234
711	59701	24148
712	59770	24059
713	59840	23969
714	59933	23889
715	60142	23855
716	60248	23780
717	60314	23688
718	60382	23598
719	60450	23508
720	60526	23421
721	60620	23341
722	60792	23291
723	60906	23218
724	60966	23125
725	61030	23033
726	61097	22942
727	61152	22848
728	61210	22754
729	61266	22660
730	61361	22580
731	61540	22531
732	61602	22438
733	61656	22344
734	61720	22253
735	61788	22163
736	61852	22072
737	61923	21983
738	62070	21921
739	62161	21840
740	62223	21748
741	62273	21653
742	62324	21557
743	62414	21475
744	62501	21393
745	62599	21314
746	62804	21271
747	62855	21175
748	62905	21080
749	62973	20991
750	63035	20899
751	63113	20813
752	63250	20747
753	63372	20675
754	63432	20584
755	63483	20489
756	63540	20396
757	63612	20309
758	63674	20218
759	63753	20132
760	63932	20078
761	63997	19988
