iter	RMSE
784	0.34668366
785	0.3466804683
786	0.3466739045
787	0.3466721678
788	0.3466667494
789	0.3466575598
790	0.3466532363
791	0.3466513746
792	0.3466285628
793	0.3466229125
794	0.3466187931
795	0.3466141512
796	0.3466079744
797	0.3466005183
798	0.3465916814
799	0.346591029
800	0.34658642
801	0.3465758328
802	0.3465662253
803	0.3465652304
804	0.3465544339
805	0.3465538508
806	0.3465387519
807	0.3465319693
808	0.3465169714
809	0.3465042688
810	0.3464960757
811	0.3464894244
812	0.3464676622
813	0.3464627883
814	0.3464499538
815	0.3464444607
816	0.3464342255
817	0.3464328813
818	0.3464258443
819	0.3464231609
820	0.3464176809
821	0.3464173345
822	0.3464165688
823	0.3464149919
824	0.3463985979
825	0.3463898461
826	0.3463847064
827	0.3463771469
828	0.3463661186
829	0.3463493729
830	0.3463452826
831	0.3463275061
832	0.346324333
833	0.3463151018
834	0.3463118635
835	0.3463099655
836	0.3463080385
837	0.3463037858
838	0.3462908969
839	0.3462903163
840	0.3462780826
841	0.3462754955
842	0.3462610643
843	0.3462550123
844	0.3462488635
845	0.3462448277
846	0.346232088
847	0.3462208724
848	0.3462174695
849	0.3462042277
850	0.34619263
851	0.3461832616
852	0.3461786523
853	0.3461732194
854	0.346167126
855	0.3461519111
856	0.3461496113
857	0.3461352895
858	0.346133287
859	0.3461266755
860	0.3461086093
861	0.3461054742
862	0.3461011305
863	0.3460975902
864	0.3460831481
865	0.346077694
866	0.3460749902
867	0.3460634587
868	0.346056139
869	0.346055012
870	0.3460516584
871	0.3460465419
872	0.3460404518
873	0.3460373722
874	0.346019251
875	0.3460125137
876	0.3460022229
877	0.3459951855
878	0.3459844578
879	0.3459767828
880	0.3459732049
881	0.3459675779
882	0.3459447317
883	0.3459400636
884	0.3459372507
885	0.3459282964
886	0.3459261915
887	0.3459174564
888	0.3459165553
889	0.3458989304
890	0.3458896749
891	0.3458813313
892	0.3458716034
893	0.3458661973
894	0.3458573088
895	0.3458535058
896	0.3458342059
897	0.345830657
898	0.3458271402
899	0.3458219296
900	0.3458137124
901	0.3458030724
902	0.3458026819
903	0.3457981212
904	0.345791458
905	0.345788169
906	0.3457822814
907	0.3457656367
908	0.3457593229
909	0.345743907
910	0.3457287938
911	0.3457235183
912	0.3457187257
913	0.345710406
914	0.3456964579
915	0.3456944772
916	0.3456891727
917	0.3456871776
918	0.3456734364
919	0.3456598157
920	0.345657099
921	0.3456509767
922	0.3456427484
923	0.3456420121
924	0.3456295107
925	0.3456095195
926	0.3456031966
927	0.3456015533
928	0.3455975435
929	0.3455965238
930	0.3455877536
931	0.3455824208
932	0.3455737721
933	0.3455633731
934	0.3455562822
935	0.3455443312
936	0.345531178
937	0.3455157692
938	0.3455105833
939	0.3455008806
940	0.3454887759
941	0.3454873837
942	0.3454728062
943	0.3454625175
944	0.3454430812
945	0.3454419847
946	0.3454338236
947	0.34542948
948	0.345426884
949	0.3454233853
950	0.3454183747
951	0.3454171384
952	0.3454099083
953	0.3454007105
954	0.3453983356
955	0.3453820118
956	0.3453732441
957	0.3453703623
958	0.3453618948
959	0.3453476331
960	0.3453373283
961	0.3453327072
962	0.3453210966
963	0.3453154357
964	0.3453122212
965	0.3453054641
966	0.3453006692
967	0.345288988
968	0.3452862081
969	0.3452831841
970	0.3452804015
971	0.3452732054
972	0.3452718142
973	0.345265971
974	0.345258301
975	0.3452493951
976	0.3452445194
977	0.3452429959
978	0.3452419085
979	0.3452306197
980	0.3452173676
981	0.3452027753
982	0.3451932801
983	0.3451708487
984	0.3451495899
985	0.345143478
986	0.3451408911
987	0.3451148659
988	0.3451084624
989	0.3451076645
990	0.3451043455
991	0.345095459
992	0.3450930949
993	0.3450875371
994	0.345086485
995	0.3450811577
996	0.3450667177
997	0.3450531116
998	0.3450522496
999	0.3450407582
